BUKRS,BELNR,GJAHR,BUZEI,HKONT,KOSTL,WRBTR,DMBTR,WAERS,BUDAT,BLDAT,SGTXT
1000,558102,2023,3,009448771,,3911.92,"2,832",USD,13/03/2021,2021.05.30,Wrong amount
3000,4110556302,2022,3,006712292,KST002,3046,"5,319",EUR,02/03/2023,2022.04.29,Invoice payment
5000,5955306057,2021,3,008408280,KST007,ERROR,1094,eur,2022-07-15,2023.02.17,Invoice payment
3000,3589207099,2023,3,008745403,,3246,"6,526",USD,2023-05-17,2022.11.18,Vendor invoice
6000,ABC1024,2023,3,009501605,,ERROR,"5,749",eur,2022-03-08,2023-02-02,Vendor invoice
6000,6391862135,2023,2,004724638,KST002,722.68,"3,849",eur,14-10-2022,2023.01.06,Wrong amount
6000,ABC1315,2021,1,009736096,KST007,NaN,2271.6,EURO,13-08-2023,27-07-2021,Payment received
5000,3578701077,2021,2,008484365,KST007,2128,3594.06,EUR,2022-03-19,17-02-2023,Duplicate row
3000,9228711842,2021,1,007826846,KST004,2922.66,3713,EURO,31/12/2022,04-10-2022,Invoice payment
1000,6263652092,2021,2,004356500,KST001,4599,3193.11,EURO,2021-02-28,2022-02-03,Invoice payment
4000,ABC8437,2023,2,005434208,,NaN,2729,EUR,2023.06.26,21-06-2023,Wrong amount
6000,695849,2023,1,004201330,KST005,NaN,107.8,EURO,2022.08.27,26/03/2021,Vendor invoice
1000,481020,2022,3,006420289,KST002,NaN,4401.87,EURO,2021-08-11,05/07/2022,Duplicate row
2000,5198195089,2023,3,008274300,,NaN,4032.23,USD,2022.12.12,2021-11-16,Vendor invoice
4000,ABC5526,2023,3,004153272,KST003,1420,2747,EURO,2023-07-09,2021.04.02,Payment received
1000,5615160810,2023,1,008589649,KST008,ERROR,"2,916",EURO,2023.09.18,02-09-2022,Duplicate row
4000,140433,2021,2,008474666,,ERROR,1489,EURO,16-10-2021,10-04-2023,Invoice payment
6000,683013,2022,3,004333466,KST008,390.35,"1,147",EUR,2022.02.27,08/09/2023,
3000,3222687625,2022,3,007682624,KST006,ERROR,"6,737",EUR,2021-03-21,2023.09.23,Wrong amount
6000,ABC8090,2023,1,006681619,,ERROR,3116.33,USD,22-10-2021,2021-01-18,Duplicate row
5000,ABC5642,2021,2,006117865,KST002,4368.33,"8,329",USD,2022.11.06,2023-06-02,Invoice payment
6000,ABC3821,2022,2,004227604,,NaN,"3,952",EUR,25/11/2022,25-06-2022,Wrong amount
4000,263775,2022,3,005596216,KST007,4342.76,1357,USD,2021.01.08,2023-05-14,Duplicate row
1000,730373,2022,2,007655242,KST008,NaN,"1,299",USD,2023.03.29,08/03/2023,Invoice payment
4000,ABC4635,2021,1,007628768,KST005,4226,4999,eur,2023-08-23,01-08-2022,Invoice payment
4000,ABC2400,2022,3,006719090,KST007,NaN,4841,USD,2023-05-03,2022-07-18,Duplicate row
3000,7636241803,2021,1,007014691,,1712,"7,240",EURO,2022.09.07,22-09-2023,Vendor invoice
5000,3234351829,2022,3,004999916,KST002,ERROR,1693,EUR,09-06-2022,2021.01.14,Payment received
6000,7861947016,2023,1,004428632,KST001,193.34,1001.84,USD,2022-07-19,07/05/2023,Wrong amount
6000,550382,2021,1,008959002,KST001,NaN,"1,346",eur,20/01/2021,2023.01.08,
3000,3905522424,2021,2,009553513,KST007,4055,175.3,EUR,2023-07-02,2022-07-11,Wrong amount
6000,7327778099,2022,3,004941620,KST006,3631.54,622,USD,2021-03-15,2023.07.08,Payment received
1000,1764198166,2021,1,004546299,KST008,NaN,1843,eur,2023-09-16,2022-04-04,
3000,704265,2022,3,008079440,KST005,ERROR,"9,922",eur,28-11-2021,2021.08.31,Invoice payment
2000,1821856984,2022,3,009754134,KST005,NaN,3915.26,USD,05/08/2023,05-04-2022,Vendor invoice
4000,6296903244,2021,1,006350386,KST005,1773,809.32,eur,13-08-2021,2023-03-20,Vendor invoice
6000,738675,2022,3,005176510,KST006,NaN,"2,207",EUR,12-09-2023,2021.09.28,Payment received
3000,ABC9309,2022,3,004502903,KST006,2194.24,3391.38,EURO,11-03-2022,2021-03-03,Payment received
4000,279880,2023,1,006405373,KST005,NaN,1392,EURO,2022-01-09,28/03/2021,Wrong amount
6000,ABC5686,2022,1,009147156,KST005,NaN,"5,389",eur,18/02/2023,2022.04.11,
3000,359690,2021,3,009973740,,NaN,2625,EURO,2021-08-20,16/08/2021,Wrong amount
5000,5588593798,2023,3,007172456,KST007,NaN,"6,552",USD,20-01-2022,2023.07.04,
6000,ABC8529,2021,3,009135131,,NaN,240,USD,2022-01-05,28/01/2022,Payment received
3000,8309255290,2023,3,009797071,,NaN,1912.94,EURO,31/01/2021,18-10-2021,Wrong amount
2000,1177534266,2022,1,006847203,KST003,NaN,876.2,EUR,02/01/2021,2021.08.25,Duplicate row
1000,484151,2023,1,008983870,KST008,2305,"3,768",EURO,09/08/2022,25-05-2021,
3000,ABC9716,2021,1,009667677,KST007,NaN,3616.28,eur,24/02/2021,08-09-2021,Payment received
3000,ABC7931,2021,3,005755809,KST004,515.97,354,eur,15-08-2021,07-03-2023,Payment received
2000,ABC8912,2022,1,006684448,KST002,1964.51,"4,732",eur,27-11-2021,2022-06-26,Duplicate row
4000,776272,2023,2,006181966,KST009,1243.44,1586,EURO,08/05/2022,2022-02-18,Payment received
2000,ABC8975,2021,1,006438670,KST004,ERROR,1693,eur,2022-07-30,03/02/2021,Invoice payment
4000,5650002071,2023,3,006569180,KST002,2730.62,"3,664",eur,2023.05.11,2022.08.10,Invoice payment
3000,652384,2022,3,007758479,KST003,NaN,"7,436",USD,21-05-2022,2022-09-30,Payment received
4000,ABC7784,2022,1,008344449,KST003,4244.36,3753.24,EUR,03/12/2022,26/05/2022,Wrong amount
2000,ABC3999,2023,3,005379937,KST001,ERROR,4654.36,EURO,2023.03.31,2021.08.01,
1000,ABC3048,2022,3,007584797,KST001,ERROR,1808,EUR,15/06/2021,2023-05-13,Vendor invoice
6000,214772,2023,3,006230980,KST007,NaN,2911.73,USD,10/10/2022,15/08/2021,Wrong amount
5000,224546,2023,3,004208848,KST009,3912,1649.39,eur,09-10-2021,26-03-2021,Vendor invoice
5000,3129214687,2023,3,008302367,KST001,NaN,2469,EURO,05-05-2023,2021-08-30,Payment received
6000,3096600919,2021,2,006989604,KST006,ERROR,"8,542",EUR,2023-04-01,2021.03.28,Wrong amount
4000,8770064358,2023,3,008049602,KST007,NaN,"8,957",eur,2023-02-02,29-05-2022,Payment received
3000,ABC1864,2023,3,006834284,,NaN,549,EURO,2021.02.09,2022.01.15,Wrong amount
4000,7270671402,2022,3,006380141,KST009,NaN,4975,EURO,2022.07.15,2022.11.15,
3000,6790704282,2022,3,007304871,KST009,NaN,1220,EURO,2023-02-17,2023-01-08,
4000,9118761601,2021,3,006043388,KST003,ERROR,"8,513",EURO,2023.07.10,2021.08.08,Invoice payment
5000,1589096591,2023,3,006499870,KST007,ERROR,4074,EUR,2022.06.22,2022.03.21,Duplicate row
2000,719210,2023,3,008711892,KST002,3033,1782.57,EURO,28-05-2023,08-07-2022,Duplicate row
3000,ABC6069,2021,2,005153506,KST003,4055.99,3081.41,USD,2023.09.19,2021-08-22,Invoice payment
1000,ABC1607,2023,3,004006578,,NaN,1873,EURO,13/03/2021,21/11/2021,Payment received
1000,273166,2023,3,008495935,KST001,NaN,3910,EUR,04-09-2023,2021-06-24,Invoice payment
6000,ABC2822,2022,2,005988171,,NaN,2878.1,USD,11-06-2021,2022.12.02,Wrong amount
3000,ABC9805,2022,2,004678370,KST005,NaN,4069.8,eur,27/03/2021,2021-01-07,
6000,ABC4552,2023,3,009595650,KST004,4653.31,"1,365",eur,2021-05-16,2021-01-03,Payment received
2000,548417,2022,3,004821995,KST009,714.46,913,EURO,04/12/2022,2021-05-10,Payment received
1000,ABC4498,2023,3,008040268,KST001,3031,"1,443",USD,15/07/2022,2022.01.26,Invoice payment
6000,1278826405,2023,2,008385073,KST008,4416.51,"6,994",eur,2022-02-26,05-06-2023,Wrong amount
3000,363621,2023,3,008169956,,NaN,4010,EUR,2022-07-31,14-10-2021,Invoice payment
2000,858866,2021,1,005211054,,ERROR,2752,eur,08-12-2021,12-08-2023,
4000,ABC5882,2022,1,006564668,KST003,2105,4661.48,eur,07-05-2023,15-11-2021,Invoice payment
6000,377642,2021,1,009280846,,ERROR,"5,350",EUR,2022-09-20,2021.01.29,Wrong amount
4000,647862,2023,3,009527578,KST004,NaN,1092,eur,16-06-2022,2021-05-06,Payment received
5000,ABC7105,2023,1,009338123,,ERROR,3964,eur,06/05/2021,22/07/2023,Duplicate row
5000,ABC1089,2023,3,008004844,KST001,3575.63,3266.56,eur,2021.12.29,17/07/2023,Payment received
1000,ABC2937,2022,1,006256660,KST001,ERROR,2708,eur,22-11-2021,2023.04.01,
6000,5339418514,2021,2,004718078,KST009,NaN,4238,USD,2021.12.05,2022-11-24,Invoice payment
5000,471558,2023,2,007639904,KST002,NaN,"3,914",eur,2022-06-06,2022.06.29,Payment received
4000,9609645991,2023,3,006057055,,1196.18,1973,EUR,2021-05-02,2021-02-14,Wrong amount
1000,ABC2351,2021,3,008108782,KST008,2310.91,3593,eur,2022.08.03,17-09-2023,Vendor invoice
3000,2140818462,2021,3,009923102,KST009,NaN,"9,545",EURO,29-11-2022,14/12/2021,
5000,ABC1891,2021,2,006179577,KST009,ERROR,3659.97,EURO,09/02/2021,2021-12-09,Duplicate row
5000,702094,2021,2,005190098,KST009,3621.85,4725,eur,2021-05-10,2021.03.11,Duplicate row
6000,472836,2022,3,007683370,KST009,NaN,"8,463",EURO,13/04/2023,31/10/2022,Wrong amount
1000,228304,2023,2,007750829,KST002,NaN,"2,640",USD,2023-09-20,2021-03-12,Payment received
6000,ABC5829,2023,1,007577786,KST007,4902.7,1261,USD,2021.07.16,2022-12-25,Vendor invoice
4000,746960,2023,3,004548249,KST004,1665,"4,110",USD,17-02-2022,2023.02.24,Payment received
2000,ABC1007,2021,2,006893230,KST001,NaN,"7,251",EURO,04/03/2023,09-03-2023,Payment received
3000,370940,2023,3,007837886,,ERROR,492.93,USD,05-01-2021,12-05-2021,Wrong amount
3000,ABC7111,2021,1,004578238,KST006,ERROR,"4,262",EURO,26/12/2022,2021.03.05,Duplicate row
1000,1246771817,2022,2,008764516,KST002,3405.94,2037,eur,28-01-2022,2022-11-24,Invoice payment
2000,4419461767,2022,3,005506825,KST001,3463.42,1812.93,eur,2023-05-31,21-01-2021,Duplicate row
2000,ABC8767,2021,3,005179184,,1929,"5,715",USD,2023-07-10,27/11/2021,Invoice payment
4000,689091,2021,3,007282865,KST007,ERROR,1723.92,EUR,19/09/2023,23-08-2023,Vendor invoice
5000,618555,2021,1,005656688,KST004,ERROR,369,USD,11-02-2022,2022.12.28,Wrong amount
1000,976892,2022,3,004297077,KST008,ERROR,731.56,USD,23-06-2023,2021.10.27,Wrong amount
5000,3266433238,2023,1,005287635,KST002,1327.06,"1,998",USD,19/11/2022,2021.04.29,Payment received
4000,ABC6416,2022,1,008792943,KST004,NaN,4123,eur,09/07/2021,07/04/2022,
3000,ABC9292,2021,2,009379585,KST004,NaN,"2,327",USD,19/07/2023,15/02/2021,Duplicate row
5000,ABC6952,2022,2,008866305,,NaN,3151.15,USD,2022.06.22,2023.08.13,
1000,ABC2154,2023,3,009700258,KST008,NaN,"5,624",EUR,2021.02.08,2021.08.30,Invoice payment
2000,ABC3199,2023,3,006649414,KST007,825.73,1285,eur,16/01/2023,2021.11.07,Wrong amount
4000,4744845994,2022,1,004148982,KST001,2380,"9,607",USD,2023-07-15,2021.07.25,
5000,ABC2713,2022,1,009119854,KST005,4816,2364,eur,28/04/2023,09/06/2022,Payment received
1000,ABC9044,2022,1,009969131,KST004,1260,3404.62,eur,02-01-2023,2022.03.11,Wrong amount
5000,ABC8187,2021,1,005261699,KST006,649,3567,USD,2021-03-02,2022-10-09,Wrong amount
4000,ABC8156,2021,2,005182002,KST001,ERROR,2879.72,EURO,2023.04.03,2023-01-16,Payment received
3000,419839,2022,3,006412696,KST001,4315,3892.56,EURO,2022.12.08,22-12-2022,Payment received
2000,207331,2023,1,008662077,KST001,4539,4399,EURO,13/10/2022,2023.03.04,Invoice payment
6000,569158,2023,3,008416136,KST009,720,1192.31,USD,11-05-2021,2021-04-01,Payment received
2000,4260851241,2023,1,004549790,,778,"2,602",EURO,17-08-2022,27-07-2021,Wrong amount
5000,ABC9908,2021,3,009454956,KST003,2995.28,"8,191",eur,14/11/2021,2022.04.30,Payment received
5000,ABC9838,2023,2,004864687,KST008,ERROR,1957,USD,2023.06.12,31/03/2023,Vendor invoice
3000,ABC2148,2021,2,009675369,KST001,NaN,1626.94,eur,31/10/2021,22-07-2021,Payment received
4000,955779,2021,3,008099919,KST007,NaN,1711,EUR,23/04/2023,2021.11.16,Vendor invoice
3000,779584,2021,3,006895004,KST001,NaN,"4,167",EURO,01/12/2021,2021.12.03,Payment received
5000,8378214026,2023,1,009476480,KST003,NaN,"1,558",eur,2021.04.23,2021.06.26,
4000,8710575001,2023,2,006091601,KST007,2205.45,1880.76,eur,12-05-2022,22/09/2022,Duplicate row
5000,777506,2022,3,004508502,KST003,2473.97,"8,275",EURO,2022.06.26,19-08-2023,Payment received
5000,208805,2022,2,005347301,KST003,ERROR,"7,534",EURO,2022-03-22,2022.11.26,Duplicate row
2000,109738,2023,2,007127476,KST008,NaN,544,EUR,2023.06.07,2022-07-08,
4000,ABC7216,2022,2,004366557,KST006,ERROR,"2,897",eur,11/10/2022,2023-05-31,Duplicate row
5000,4609065903,2021,2,007992499,KST009,3340.87,2394.95,EUR,2021-12-27,2022.06.04,Wrong amount
2000,ABC3335,2022,3,009081382,,3102.1,520,EURO,21/05/2021,2021-08-25,Payment received
3000,ABC2890,2023,2,005397333,KST009,4740.21,"5,830",EUR,2022-06-25,15/03/2023,Vendor invoice
1000,5276472321,2023,1,005148374,KST004,213,4097.16,eur,01/02/2021,17-09-2021,
1000,7939402453,2023,3,008174900,KST008,ERROR,"9,171",USD,22-08-2023,05/07/2021,Duplicate row
2000,ABC4545,2022,3,006156814,KST005,3936.08,"1,572",USD,19/12/2021,2021-07-12,Invoice payment
6000,538839,2021,2,005297325,KST004,4545,3199,EURO,10-10-2022,08/11/2021,Duplicate row
3000,ABC4850,2022,3,006350004,KST005,NaN,2028,EURO,2022.01.15,26-03-2022,Invoice payment
6000,141024,2023,3,005144099,KST006,ERROR,3906,USD,2022-11-05,06-11-2022,Invoice payment
5000,454492,2023,2,008087329,KST002,ERROR,"7,326",eur,07/12/2021,2023-06-14,Vendor invoice
4000,9497730727,2021,1,006156925,KST005,933,"1,605",EUR,2023-06-17,2021.01.24,Vendor invoice
3000,362109,2023,3,007957070,KST001,NaN,1409.0,EUR,01/09/2022,2021-10-16,Wrong amount
4000,484816,2023,1,009925001,KST008,NaN,418.92,USD,21/04/2022,18/06/2021,Vendor invoice
2000,ABC8765,2022,3,007845610,KST004,ERROR,1752,USD,01-04-2022,12-08-2021,Payment received
5000,848352,2022,1,009339424,KST001,524,"9,913",EUR,2021-03-06,18-01-2023,Duplicate row
3000,5753617935,2023,2,007971644,KST003,NaN,3422,eur,2021-01-30,08/09/2023,Wrong amount
4000,ABC4923,2022,3,009727367,KST006,2070,4540.23,eur,2022.03.05,2022-09-22,Payment received
4000,1401480273,2022,2,008019315,KST008,NaN,"8,532",EUR,15/02/2022,2023.02.27,
1000,329893,2023,3,008956068,KST007,ERROR,218,EURO,2023.09.27,2021.08.16,Wrong amount
1000,ABC4695,2021,2,004033991,,ERROR,"3,933",EURO,04-02-2021,2022-01-16,Wrong amount
5000,ABC1649,2021,2,009375615,KST007,3497,3471.32,USD,21/01/2023,2021.07.26,
2000,8951168438,2023,3,008277687,KST005,3853,"7,881",EURO,2022.07.01,2022-12-04,Payment received
2000,860726,2022,2,007102126,KST003,ERROR,812.28,EURO,04-03-2022,2022.10.16,Duplicate row
3000,251323,2021,2,004972386,KST009,1838.97,1573.57,eur,2022.01.01,2022-12-24,Invoice payment
4000,ABC7881,2023,1,006739606,KST008,2986,822.01,EURO,2023.03.07,28/11/2021,
2000,ABC2170,2021,1,004515283,,NaN,2366,EUR,12-07-2022,2022-08-18,Wrong amount
1000,6084327034,2021,2,008516985,KST006,NaN,"9,975",eur,2022.01.10,30-08-2023,
6000,785919,2023,1,004581809,KST006,736.75,"5,977",eur,2021.05.24,2021-08-07,Invoice payment
1000,ABC5145,2021,1,006063337,KST008,2306,2737.04,eur,2021-04-22,2022-11-24,Wrong amount
3000,929651,2021,2,008776447,KST004,3472.51,2470,eur,2022-09-22,18/09/2023,Payment received
1000,2135601669,2021,2,007503339,KST004,ERROR,"7,606",eur,2021-07-29,2021.08.27,Invoice payment
3000,9361008936,2023,1,006318181,KST005,301.29,632.7,EURO,20-11-2021,2022.07.13,Wrong amount
6000,ABC1399,2021,3,007055370,KST005,ERROR,4442.18,EURO,2021.11.21,27-02-2021,Payment received
6000,735861,2021,3,008509621,,ERROR,524,USD,16-08-2022,10/05/2021,Invoice payment
2000,8476380366,2021,3,006745720,,3953,1003,USD,16-05-2021,2021.10.29,Payment received
3000,ABC4842,2022,2,004921717,KST009,286,"6,588",eur,01/01/2021,2022-03-17,Payment received
2000,ABC8395,2021,3,006272245,KST005,NaN,1964.45,USD,30/03/2021,26-07-2022,Vendor invoice
6000,6094104230,2023,3,005631906,KST003,ERROR,"6,821",USD,2022.02.16,23-10-2021,
4000,ABC8274,2022,2,007315976,,777.63,"2,896",eur,2022.07.29,2021.11.29,Vendor invoice
1000,801197,2021,1,009470172,KST007,4872,490.24,eur,2021-03-19,16/09/2022,Wrong amount
5000,4321344484,2021,1,004076003,KST001,3090,1494.45,USD,13/09/2023,17-10-2022,Invoice payment
6000,181481,2021,1,009823937,KST009,ERROR,"9,381",EURO,2022.08.29,23/09/2023,Invoice payment
2000,509132,2023,3,009613809,KST008,NaN,"8,150",USD,30-07-2022,2022.08.12,Vendor invoice
3000,188365,2022,1,007145828,KST007,NaN,4895.61,USD,22/05/2021,01-03-2023,
1000,8228827835,2021,1,008855660,,3011.47,1935,EURO,31/10/2022,28/07/2023,Invoice payment
5000,612816,2022,3,005474348,KST006,4121,2358.55,USD,01/12/2021,02/02/2022,Payment received
3000,ABC5769,2022,2,009314080,KST009,1023.56,4737,EURO,31-03-2021,2021-03-23,Invoice payment
2000,ABC4513,2021,3,007909967,KST005,4380,"9,771",eur,2022-11-22,19-05-2023,Payment received
2000,ABC6153,2023,3,007330956,KST002,ERROR,2622,USD,10/12/2021,24-01-2021,Wrong amount
3000,ABC1667,2021,3,007385614,KST008,ERROR,"7,961",EUR,30-08-2023,19/07/2022,Wrong amount
5000,758315,2022,2,007892269,KST003,NaN,3373.98,eur,2023.09.10,30-05-2021,Vendor invoice
3000,ABC9124,2021,3,009898260,KST003,149,3061,EUR,10/07/2021,2023-07-28,Payment received
5000,ABC6134,2022,3,005366469,KST003,1318.86,2912.23,USD,13/07/2021,2022.04.11,Wrong amount
2000,7193365493,2021,2,004187179,KST002,3353.61,3578.07,EUR,01-11-2021,03/12/2022,Payment received
6000,9145710221,2021,1,007176638,KST009,ERROR,4845,EUR,2021.07.06,2021.09.06,Payment received
