date,source,sessions,page_views,unique_visitors,bounce_rate,avg_session_duration,conversions,conversion_rate
2024-04-30,Social Media,2359,5122,1772,0.359,237,105,0.0445
2024-04-30,Direct,2260,4460,1738,0.442,226,65,0.0288
2024-04-30,Referral,4508,10610,3471,0.318,578,209,0.0464
2024-04-30,Email,2464,8888,1828,0.446,549,116,0.0471
2024-05-01,Organic Search,2571,7855,2157,0.471,103,118,0.0459
2024-05-01,Paid Search,763,2297,680,0.346,164,34,0.0446
2024-05-01,Social Media,3592,7168,2692,0.352,479,147,0.0409
2024-05-01,Direct,2204,7179,1836,0.681,199,95,0.0431
2024-05-01,Referral,4325,10691,3976,0.605,241,161,0.0372
2024-05-01,Email,2673,10183,2109,0.549,553,125,0.0468
2024-05-02,Organic Search,638,1451,556,0.475,362,16,0.0251
2024-05-02,Paid Search,3368,12063,3109,0.68,355,107,0.0318
2024-05-02,Social Media,2916,9520,2693,0.497,559,60,0.0206
2024-05-02,Direct,1167,4205,1107,0.618,208,43,0.0368
2024-05-02,Referral,1715,3632,1613,0.406,562,34,0.0198
2024-05-02,Email,619,1080,433,0.618,561,30,0.0485
2024-05-03,Organic Search,3216,12412,2424,0.617,245,110,0.0342
2024-05-03,Paid Search,3085,5386,2296,0.588,289,50,0.0162
2024-05-03,Social Media,746,2676,572,0.636,227,13,0.0174
2024-05-03,Direct,244,760,173,0.447,481,4,0.0164
2024-05-03,Referral,3809,9424,3004,0.592,548,177,0.0465
2024-05-03,Email,3794,9785,2710,0.543,74,114,0.03
2024-05-04,Organic Search,1158,2786,919,0.472,584,50,0.0432
2024-05-04,Paid Search,3976,7456,3557,0.41,381,77,0.0194
2024-05-04,Social Media,2717,4920,2558,0.699,565,112,0.0412
2024-05-04,Direct,4583,9090,3350,0.554,447,47,0.0103
2024-05-04,Referral,3954,10947,3234,0.543,198,147,0.0372
2024-05-04,Email,960,1873,767,0.413,257,38,0.0396
2024-05-05,Organic Search,298,624,214,0.598,234,8,0.0268
2024-05-05,Paid Search,2967,7284,2474,0.51,192,40,0.0135
2024-05-05,Social Media,3428,13538,2866,0.415,418,80,0.0233
2024-05-05,Direct,1789,3341,1322,0.525,530,84,0.047
2024-05-05,Referral,4188,13793,3280,0.673,554,102,0.0244
2024-05-05,Email,170,506,151,0.349,391,2,0.0118
2024-05-06,Organic Search,4302,11301,3579,0.563,79,94,0.0219
2024-05-06,Paid Search,3639,12219,2750,0.463,133,154,0.0423
2024-05-06,Social Media,753,1215,675,0.518,374,10,0.0133
2024-05-06,Direct,3421,11198,2754,0.331,143,138,0.0403
2024-05-06,Referral,3885,7932,3115,0.453,325,76,0.0196
2024-05-06,Email,2223,4961,1676,0.46,410,56,0.0252
2024-05-07,Organic Search,3107,6382,2380,0.333,584,96,0.0309
2024-05-07,Paid Search,4861,19287,3547,0.409,134,151,0.0311
2024-05-07,Social Media,3958,6235,2879,0.473,538,118,0.0298
2024-05-07,Direct,4376,11948,3358,0.342,78,60,0.0137
2024-05-07,Referral,258,433,221,0.397,235,11,0.0426
2024-05-07,Email,2882,7869,2459,0.334,551,88,0.0305
2024-05-08,Organic Search,3713,10412,3062,0.499,138,184,0.0496
2024-05-08,Paid Search,2855,4303,2435,0.681,449,129,0.0452
2024-05-08,Social Media,1343,5005,1198,0.654,69,23,0.0171
2024-05-08,Direct,419,1545,372,0.424,80,6,0.0143
2024-05-08,Referral,3966,9995,3575,0.545,99,80,0.0202
2024-05-08,Email,2666,9724,1940,0.335,592,86,0.0323
2024-05-09,Organic Search,4609,9691,4080,0.689,104,190,0.0412
2024-05-09,Paid Search,4470,8033,3704,0.7,203,143,0.032
2024-05-09,Social Media,1986,4169,1859,0.36,377,19,0.0096
2024-05-09,Direct,710,1368,654,0.65,472,18,0.0254
2024-05-09,Referral,1883,4924,1376,0.334,463,36,0.0191
2024-05-09,Email,1737,4670,1437,0.583,330,59,0.034
2024-05-10,Organic Search,3636,6943,3075,0.433,278,127,0.0349
2024-05-10,Paid Search,2642,5772,2046,0.65,535,129,0.0488
2024-05-10,Social Media,4068,9426,3193,0.583,333,72,0.0177
2024-05-10,Direct,891,1698,725,0.34,465,24,0.0269
2024-05-10,Referral,2675,6956,2467,0.4,219,81,0.0303
2024-05-10,Email,848,2389,635,0.343,244,12,0.0142
2024-05-11,Organic Search,4208,9818,2968,0.357,467,178,0.0423
2024-05-11,Paid Search,4127,15139,3544,0.589,232,201,0.0487
2024-05-11,Social Media,336,1085,316,0.312,205,14,0.0417
2024-05-11,Direct,328,1031,247,0.463,223,12,0.0366
2024-05-11,Referral,4777,8190,3711,0.489,305,189,0.0396
2024-05-11,Email,3405,6102,2632,0.402,279,74,0.0217
2024-05-12,Organic Search,4559,12137,3955,0.686,318,219,0.048
2024-05-12,Paid Search,3665,12336,3261,0.645,460,101,0.0276
2024-05-12,Social Media,3824,12043,3418,0.648,515,93,0.0243
2024-05-12,Direct,3962,11812,2952,0.314,523,85,0.0215
2024-05-12,Referral,4742,13985,3762,0.485,550,193,0.0407
2024-05-12,Email,1535,3617,1171,0.474,350,55,0.0358
2024-05-13,Organic Search,3711,10135,2612,0.456,366,127,0.0342
2024-05-13,Paid Search,1516,4823,1361,0.487,125,72,0.0475
2024-05-13,Social Media,4360,11560,3695,0.379,380,106,0.0243
2024-05-13,Direct,4176,14226,3151,0.357,313,129,0.0309
2024-05-13,Referral,1621,2899,1327,0.443,591,19,0.0117
2024-05-13,Email,683,1383,611,0.381,272,8,0.0117
2024-05-14,Organic Search,3665,12886,2615,0.379,305,57,0.0156
2024-05-14,Paid Search,863,3065,756,0.476,245,13,0.0151
2024-05-14,Social Media,3356,7061,2618,0.452,411,82,0.0244
2024-05-14,Direct,4111,15502,3356,0.357,487,103,0.0251
2024-05-14,Referral,3210,6227,2855,0.306,229,35,0.0109
2024-05-14,Email,2144,7375,1763,0.339,585,44,0.0205
2024-05-15,Organic Search,2155,5414,1850,0.49,225,84,0.039
2024-05-15,Paid Search,463,985,389,0.339,469,12,0.0259
2024-05-15,Social Media,1545,4833,1156,0.582,287,75,0.0485
2024-05-15,Direct,2919,6588,2523,0.323,418,98,0.0336
2024-05-15,Referral,3705,9751,2803,0.496,315,62,0.0167
2024-05-15,Email,3588,6821,3289,0.349,562,115,0.0321
2024-05-16,Organic Search,1973,5315,1872,0.595,214,98,0.0497
2024-05-16,Paid Search,4193,8942,3077,0.485,133,161,0.0384
2024-05-16,Social Media,1841,5244,1336,0.41,578,58,0.0315
2024-05-16,Direct,560,1614,477,0.447,131,21,0.0375
2024-05-16,Referral,4372,13423,3163,0.642,213,173,0.0396
2024-05-16,Email,3411,8938,3092,0.407,296,76,0.0223
2024-05-17,Organic Search,4825,15078,4339,0.416,419,59,0.0122
2024-05-17,Paid Search,700,1710,525,0.659,497,16,0.0229
2024-05-17,Social Media,568,1601,525,0.327,423,22,0.0387
2024-05-17,Direct,3417,12410,3032,0.507,558,111,0.0325
2024-05-17,Referral,3168,10950,2400,0.58,111,94,0.0297
2024-05-17,Email,2322,4831,1883,0.548,260,24,0.0103
2024-05-18,Organic Search,4650,10739,3813,0.652,209,156,0.0335
2024-05-18,Paid Search,735,2460,627,0.698,234,31,0.0422
2024-05-18,Social Media,2862,6880,2568,0.596,292,45,0.0157
2024-05-18,Direct,2243,7691,1933,0.406,184,49,0.0218
2024-05-18,Referral,429,902,317,0.547,499,17,0.0396
2024-05-18,Email,861,2673,778,0.665,97,18,0.0209
2024-05-19,Organic Search,233,395,170,0.562,199,9,0.0386
2024-05-19,Paid Search,4969,11917,3803,0.345,206,247,0.0497
2024-05-19,Social Media,1279,3251,1055,0.608,496,60,0.0469
2024-05-19,Direct,1924,5939,1552,0.626,560,48,0.0249
2024-05-19,Referral,714,2842,615,0.512,92,23,0.0322
2024-05-19,Email,1974,6201,1412,0.683,458,54,0.0274
2024-05-20,Organic Search,3219,7019,3015,0.545,444,111,0.0345
2024-05-20,Paid Search,2041,5613,1719,0.457,138,51,0.025
2024-05-20,Social Media,2525,4324,1864,0.428,494,62,0.0246
2024-05-20,Direct,3032,5772,2145,0.563,252,35,0.0115
2024-05-20,Referral,4641,8694,3417,0.681,299,155,0.0334
2024-05-20,Email,2996,5611,2280,0.545,536,121,0.0404
2024-05-21,Organic Search,4954,10619,3748,0.52,124,64,0.0129
2024-05-21,Paid Search,3551,7970,3047,0.665,287,118,0.0332
2024-05-21,Social Media,1734,6514,1273,0.493,370,22,0.0127
2024-05-21,Direct,4316,10724,3248,0.461,82,47,0.0109
2024-05-21,Referral,2263,5068,1936,0.413,179,57,0.0252
2024-05-21,Email,2745,10491,2064,0.575,374,51,0.0186
2024-05-22,Organic Search,2309,6860,1720,0.312,588,47,0.0204
2024-05-22,Paid Search,1058,4103,799,0.388,294,11,0.0104
2024-05-22,Social Media,3477,8466,2962,0.694,537,155,0.0446
2024-05-22,Direct,4114,8175,3803,0.58,546,84,0.0204
2024-05-22,Referral,2663,4893,1938,0.643,132,47,0.0176
2024-05-22,Email,1981,3184,1878,0.311,198,85,0.0429
2024-05-23,Organic Search,1877,5963,1461,0.518,517,64,0.0341
2024-05-23,Paid Search,1467,4746,1314,0.64,174,23,0.0157
2024-05-23,Social Media,3765,14561,3362,0.347,599,144,0.0382
2024-05-23,Direct,2043,5597,1484,0.359,373,60,0.0294
2024-05-23,Referral,1345,2667,1101,0.347,350,44,0.0327
2024-05-23,Email,2236,8528,1852,0.492,419,78,0.0349
2024-05-24,Organic Search,1954,7103,1789,0.393,593,21,0.0107
2024-05-24,Paid Search,384,578,316,0.548,111,8,0.0208
2024-05-24,Social Media,1339,5155,948,0.585,442,64,0.0478
2024-05-24,Direct,3536,11104,2894,0.452,538,150,0.0424
2024-05-24,Referral,4314,10737,3544,0.676,102,102,0.0236
2024-05-24,Email,4327,8360,3483,0.481,257,131,0.0303
2024-05-25,Organic Search,3471,6060,2916,0.549,584,158,0.0455
2024-05-25,Paid Search,4962,15077,4274,0.499,574,187,0.0377
2024-05-25,Social Media,1767,3294,1476,0.647,67,60,0.034
2024-05-25,Direct,234,450,188,0.684,433,9,0.0385
2024-05-25,Referral,2269,8790,2068,0.642,574,92,0.0405
2024-05-25,Email,1780,7023,1480,0.404,265,59,0.0331
2024-05-26,Organic Search,796,1802,588,0.549,441,36,0.0452
2024-05-26,Paid Search,2418,5415,1902,0.496,404,29,0.012
2024-05-26,Social Media,4382,12112,3643,0.382,498,207,0.0472
2024-05-26,Direct,885,2970,710,0.343,454,37,0.0418
2024-05-26,Referral,4371,13680,4134,0.506,538,63,0.0144
2024-05-26,Email,363,1208,254,0.565,597,17,0.0468
2024-05-27,Organic Search,2105,4249,1984,0.354,369,27,0.0128
2024-05-27,Paid Search,2137,5978,1993,0.468,491,57,0.0267
2024-05-27,Social Media,4231,9144,3962,0.605,567,87,0.0206
2024-05-27,Direct,4039,9600,3671,0.342,406,57,0.0141
2024-05-27,Referral,542,1797,379,0.411,597,19,0.0351
2024-05-27,Email,1930,6653,1427,0.512,72,56,0.029
2024-05-28,Organic Search,2636,6638,2132,0.64,134,78,0.0296
2024-05-28,Paid Search,4162,11121,2960,0.437,294,193,0.0464
2024-05-28,Social Media,3263,6184,2947,0.551,274,77,0.0236
2024-05-28,Direct,1917,7482,1542,0.447,344,78,0.0407
2024-05-28,Referral,850,1707,758,0.465,367,35,0.0412
2024-05-28,Email,1677,4910,1333,0.578,572,55,0.0328
2024-05-29,Organic Search,3965,10869,2782,0.537,598,171,0.0431
2024-05-29,Paid Search,3801,14978,2733,0.675,174,84,0.0221
2024-05-29,Social Media,2260,7055,2084,0.614,104,61,0.027
2024-05-29,Direct,4919,12386,3872,0.344,254,107,0.0218
2024-05-29,Referral,674,2087,557,0.37,448,32,0.0475
2024-05-29,Email,1852,6534,1661,0.608,593,57,0.0308
2024-05-30,Organic Search,430,753,343,0.363,501,6,0.014
2024-05-30,Paid Search,3907,10862,3633,0.336,456,167,0.0427
2024-05-30,Social Media,1602,6210,1270,0.422,575,41,0.0256
2024-05-30,Direct,2633,5419,2152,0.308,268,54,0.0205
2024-05-30,Referral,2452,5669,1766,0.444,209,113,0.0461
2024-05-30,Email,209,460,161,0.553,387,6,0.0287
2024-05-31,Organic Search,560,2162,405,0.405,502,6,0.0107
2024-05-31,Paid Search,3704,14394,3221,0.337,209,59,0.0159
2024-05-31,Social Media,1696,3971,1395,0.582,504,61,0.036
2024-05-31,Direct,831,2260,774,0.413,133,28,0.0337
2024-05-31,Referral,1834,4105,1470,0.513,480,24,0.0131
2024-05-31,Email,4202,8883,3782,0.603,370,94,0.0224
2024-06-01,Organic Search,901,3147,725,0.373,104,28,0.0311
2024-06-01,Paid Search,2823,7843,2307,0.66,525,78,0.0276
2024-06-01,Social Media,426,1433,317,0.42,474,5,0.0117
2024-06-01,Direct,539,1042,486,0.518,133,21,0.039
2024-06-01,Referral,2005,6902,1558,0.32,486,48,0.0239
2024-06-01,Email,2147,3302,1928,0.66,233,57,0.0265
2024-06-02,Organic Search,2660,7066,2067,0.366,188,131,0.0492
2024-06-02,Paid Search,4431,16505,4120,0.687,350,70,0.0158
2024-06-02,Social Media,1518,3368,1162,0.681,110,58,0.0382
2024-06-02,Direct,2445,4433,2204,0.586,521,119,0.0487
2024-06-02,Referral,3920,13203,3013,0.693,256,65,0.0166
2024-06-02,Email,4274,9824,3300,0.431,192,72,0.0168
2024-06-03,Organic Search,2155,7063,1769,0.58,451,71,0.0329
2024-06-03,Paid Search,3110,7369,2808,0.486,476,75,0.0241
2024-06-03,Social Media,3970,11390,3376,0.675,366,185,0.0466
2024-06-03,Direct,4614,16963,3558,0.501,451,100,0.0217
2024-06-03,Referral,1377,2704,1100,0.35,446,45,0.0327
2024-06-03,Email,113,273,84,0.481,278,1,0.0088
2024-06-04,Organic Search,4038,9578,3532,0.35,432,166,0.0411
2024-06-04,Paid Search,2642,6838,1901,0.586,225,72,0.0273
2024-06-04,Social Media,3333,5688,3095,0.403,297,105,0.0315
2024-06-04,Direct,4089,10991,3180,0.405,576,197,0.0482
2024-06-04,Referral,4016,7800,2938,0.684,559,135,0.0336
2024-06-04,Email,1313,4988,1118,0.498,198,29,0.0221
2024-06-05,Organic Search,3397,6740,3097,0.323,579,115,0.0339
2024-06-05,Paid Search,1879,4640,1764,0.462,186,23,0.0122
2024-06-05,Social Media,4083,7006,3616,0.383,486,75,0.0184
2024-06-05,Direct,925,3571,776,0.508,351,39,0.0422
2024-06-05,Referral,2834,11287,2432,0.451,446,125,0.0441
2024-06-05,Email,2340,6830,1684,0.672,492,82,0.035
2024-06-06,Organic Search,700,1458,490,0.577,447,24,0.0343
2024-06-06,Paid Search,1962,3144,1828,0.432,446,28,0.0143
2024-06-06,Social Media,1969,5805,1554,0.332,502,21,0.0107
2024-06-06,Direct,1659,4290,1277,0.327,452,33,0.0199
2024-06-06,Referral,1055,2519,835,0.472,408,51,0.0483
2024-06-06,Email,4596,15350,3604,0.545,424,220,0.0479
2024-06-07,Organic Search,3293,6326,2342,0.386,412,49,0.0149
2024-06-07,Paid Search,3995,7403,3617,0.618,356,55,0.0138
2024-06-07,Social Media,1850,6968,1452,0.466,82,20,0.0108
2024-06-07,Direct,2694,10740,2289,0.671,80,81,0.0301
2024-06-07,Referral,1549,5619,1111,0.313,293,16,0.0103
2024-06-07,Email,598,1831,565,0.316,404,9,0.0151
2024-06-08,Organic Search,4719,8836,4023,0.393,388,88,0.0186
2024-06-08,Paid Search,516,868,410,0.506,595,5,0.0097
2024-06-08,Social Media,1551,5880,1403,0.536,449,50,0.0322
2024-06-08,Direct,918,2231,772,0.624,70,14,0.0153
2024-06-08,Referral,3028,5319,2272,0.394,517,60,0.0198
2024-06-08,Email,911,1422,781,0.634,304,13,0.0143
2024-06-09,Organic Search,4426,15766,3861,0.635,398,191,0.0432
2024-06-09,Paid Search,1350,3764,1105,0.415,71,41,0.0304
2024-06-09,Social Media,4148,13400,3151,0.529,124,92,0.0222
2024-06-09,Direct,4685,13064,4415,0.364,78,133,0.0284
2024-06-09,Referral,1031,3764,723,0.347,286,45,0.0436
2024-06-09,Email,3068,9669,2434,0.358,416,111,0.0362
2024-06-10,Organic Search,1348,4427,954,0.641,490,64,0.0475
2024-06-10,Paid Search,1530,2353,1445,0.447,324,58,0.0379
2024-06-10,Social Media,3876,10140,2755,0.316,177,120,0.031
2024-06-10,Direct,3492,7113,3074,0.536,579,100,0.0286
2024-06-10,Referral,852,1920,770,0.406,249,16,0.0188
2024-06-10,Email,2638,7670,2383,0.532,325,123,0.0466
2024-06-11,Organic Search,4943,13583,3661,0.427,318,179,0.0362
2024-06-11,Paid Search,715,2597,579,0.444,437,25,0.035
2024-06-11,Social Media,1240,2836,972,0.659,117,17,0.0137
2024-06-11,Direct,3799,10315,2772,0.688,390,101,0.0266
2024-06-11,Referral,4955,14660,3639,0.518,469,127,0.0256
2024-06-11,Email,719,1538,629,0.504,313,22,0.0306
2024-06-12,Organic Search,227,600,199,0.541,596,5,0.022
2024-06-12,Paid Search,3789,6652,2800,0.509,500,177,0.0467
2024-06-12,Social Media,3968,10467,3517,0.657,271,173,0.0436
2024-06-12,Direct,2986,7196,2460,0.592,269,114,0.0382
2024-06-12,Referral,2477,9436,2125,0.557,85,122,0.0493
2024-06-12,Email,1750,4912,1644,0.445,274,59,0.0337
2024-06-13,Organic Search,2242,7745,2018,0.402,333,76,0.0339
2024-06-13,Paid Search,2972,9563,2542,0.478,66,88,0.0296
2024-06-13,Social Media,4962,7630,3565,0.365,258,68,0.0137
2024-06-13,Direct,3307,8460,2828,0.632,467,160,0.0484
2024-06-13,Referral,1885,4557,1753,0.541,61,90,0.0477
2024-06-13,Email,862,2143,760,0.424,231,20,0.0232
2024-06-14,Organic Search,4992,13029,4182,0.501,182,83,0.0166
2024-06-14,Paid Search,4265,16140,3672,0.526,377,182,0.0427
2024-06-14,Social Media,3908,12115,2997,0.679,450,93,0.0238
2024-06-14,Direct,3634,12230,2920,0.674,95,49,0.0135
2024-06-14,Referral,1266,2462,1176,0.636,337,50,0.0395
2024-06-14,Email,535,859,447,0.674,322,5,0.0093
2024-06-15,Organic Search,907,1837,751,0.539,310,9,0.0099
2024-06-15,Paid Search,117,181,87,0.543,225,4,0.0342
2024-06-15,Social Media,1571,4018,1292,0.5,495,25,0.0159
2024-06-15,Direct,4117,11485,3377,0.383,80,44,0.0107
2024-06-15,Referral,2841,5397,2392,0.629,396,73,0.0257
2024-06-15,Email,3786,8210,2765,0.461,541,83,0.0219
2024-06-16,Organic Search,3285,10208,2437,0.553,249,129,0.0393
2024-06-16,Paid Search,1726,4407,1389,0.644,372,73,0.0423
2024-06-16,Social Media,4873,17604,3753,0.473,151,135,0.0277
2024-06-16,Direct,2008,7266,1419,0.384,347,75,0.0374
2024-06-16,Referral,1962,4056,1545,0.6,213,43,0.0219
2024-06-16,Email,915,1893,839,0.413,382,29,0.0317
2024-06-17,Organic Search,2896,7126,2284,0.364,321,76,0.0262
2024-06-17,Paid Search,4242,16776,3923,0.378,491,144,0.0339
2024-06-17,Social Media,1447,2267,1258,0.312,143,42,0.029
2024-06-17,Direct,4158,13659,3815,0.57,280,202,0.0486
2024-06-17,Referral,944,3250,721,0.452,274,38,0.0403
2024-06-17,Email,1290,2374,1067,0.435,576,46,0.0357
2024-06-18,Organic Search,1209,4490,1015,0.575,349,50,0.0414
2024-06-18,Paid Search,1358,3092,1078,0.426,283,58,0.0427
2024-06-18,Social Media,2344,8861,2160,0.671,457,80,0.0341
2024-06-18,Direct,4991,19302,4525,0.685,288,208,0.0417
2024-06-18,Referral,2212,5115,1813,0.678,309,88,0.0398
2024-06-18,Email,4338,12531,3935,0.649,426,62,0.0143
2024-06-19,Organic Search,3878,8074,3631,0.485,312,40,0.0103
2024-06-19,Paid Search,3266,11727,2593,0.331,584,47,0.0144
2024-06-19,Social Media,3768,8441,3288,0.33,265,63,0.0167
2024-06-19,Direct,4790,11234,3896,0.551,131,160,0.0334
2024-06-19,Referral,2980,6917,2585,0.635,92,112,0.0376
2024-06-19,Email,4665,15811,4176,0.561,194,71,0.0152
2024-06-20,Organic Search,3326,12677,2449,0.428,157,119,0.0358
2024-06-20,Paid Search,2920,8140,2590,0.312,436,125,0.0428
2024-06-20,Social Media,2843,7029,2068,0.696,544,34,0.012
2024-06-20,Direct,2174,4604,2056,0.401,292,34,0.0156
2024-06-20,Referral,513,1434,455,0.526,575,11,0.0214
2024-06-20,Email,881,1590,663,0.587,307,9,0.0102
2024-06-21,Organic Search,3896,11468,2936,0.408,285,154,0.0395
2024-06-21,Paid Search,594,1607,483,0.615,386,11,0.0185
2024-06-21,Social Media,4049,12801,3248,0.584,394,202,0.0499
2024-06-21,Direct,2804,9968,1981,0.324,404,32,0.0114
2024-06-21,Referral,4415,8655,3285,0.344,538,174,0.0394
2024-06-21,Email,923,2020,798,0.457,91,14,0.0152
2024-06-22,Organic Search,3225,10716,2562,0.302,169,144,0.0447
2024-06-22,Paid Search,1223,3382,940,0.692,453,48,0.0392
2024-06-22,Social Media,1368,3739,1209,0.389,71,22,0.0161
2024-06-22,Direct,4129,7039,2908,0.431,412,197,0.0477
2024-06-22,Referral,4391,15537,3598,0.372,485,117,0.0266
2024-06-22,Email,4762,12147,3670,0.58,343,67,0.0141
2024-06-23,Organic Search,4571,18059,3953,0.442,303,221,0.0483
2024-06-23,Paid Search,2780,8445,2463,0.615,267,134,0.0482
2024-06-23,Social Media,4278,10851,3929,0.522,445,143,0.0334
2024-06-23,Direct,4685,12138,3339,0.68,450,49,0.0105
2024-06-23,Referral,1427,2777,1304,0.6,174,42,0.0294
2024-06-23,Email,4196,11276,3609,0.613,483,100,0.0238
2024-06-24,Organic Search,3045,8957,2758,0.506,157,41,0.0135
2024-06-24,Paid Search,2961,7851,2154,0.373,418,121,0.0409
2024-06-24,Social Media,904,1951,688,0.384,202,14,0.0155
2024-06-24,Direct,2269,5134,2067,0.55,246,53,0.0234
2024-06-24,Referral,644,2419,489,0.628,175,20,0.0311
2024-06-24,Email,2279,7880,1630,0.551,495,25,0.011
2024-06-25,Organic Search,4522,7973,3442,0.572,413,146,0.0323
2024-06-25,Paid Search,4460,14926,3636,0.625,343,220,0.0493
2024-06-25,Social Media,2054,5648,1946,0.423,213,40,0.0195
2024-06-25,Direct,3611,8445,3140,0.5,114,77,0.0213
2024-06-25,Referral,4349,10483,3402,0.394,208,69,0.0159
2024-06-25,Email,4788,13481,3955,0.47,187,229,0.0478
2024-06-26,Organic Search,952,3723,765,0.399,543,39,0.041
2024-06-26,Paid Search,4513,11560,3743,0.371,534,111,0.0246
2024-06-26,Social Media,3458,5447,2429,0.333,226,93,0.0269
2024-06-26,Direct,680,1290,607,0.604,208,25,0.0368
2024-06-26,Referral,3008,10182,2258,0.534,142,64,0.0213
2024-06-26,Email,1101,2272,1037,0.665,523,17,0.0154
2024-06-27,Organic Search,626,1637,552,0.311,242,20,0.0319
2024-06-27,Paid Search,3678,5658,3394,0.668,111,127,0.0345
2024-06-27,Social Media,2390,8031,2229,0.363,104,29,0.0121
2024-06-27,Direct,512,1224,410,0.681,450,15,0.0293
2024-06-27,Referral,3878,12282,2912,0.594,355,113,0.0291
2024-06-27,Email,687,2713,511,0.478,369,7,0.0102
2024-06-28,Organic Search,1007,3940,781,0.561,360,43,0.0427
2024-06-28,Paid Search,3414,10240,2844,0.529,501,81,0.0237
2024-06-28,Social Media,1941,4192,1726,0.558,132,52,0.0268
2024-06-28,Direct,1941,3435,1404,0.587,95,29,0.0149
2024-06-28,Referral,4648,9621,3879,0.439,129,95,0.0204
2024-06-28,Email,2601,6947,2116,0.655,246,72,0.0277
2024-06-29,Organic Search,2315,5371,1945,0.591,310,86,0.0371
2024-06-29,Paid Search,2267,8354,1982,0.504,504,72,0.0318
2024-06-29,Social Media,1354,3462,1237,0.613,87,57,0.0421
2024-06-29,Direct,1000,3371,708,0.382,228,14,0.014
2024-06-29,Referral,1588,2493,1299,0.66,428,56,0.0353
2024-06-29,Email,1615,2552,1393,0.457,455,52,0.0322
2024-06-30,Organic Search,3304,9173,2466,0.445,479,68,0.0206
2024-06-30,Paid Search,4065,7073,3814,0.647,234,195,0.048
2024-06-30,Social Media,489,1443,370,0.674,247,15,0.0307
2024-06-30,Direct,108,276,92,0.415,505,3,0.0278
2024-06-30,Referral,1406,2935,1032,0.532,84,43,0.0306
2024-06-30,Email,3459,12542,2819,0.371,418,125,0.0361
2024-07-01,Organic Search,2497,7324,2008,0.539,189,32,0.0128
2024-07-01,Paid Search,1664,3484,1350,0.616,291,22,0.0132
2024-07-01,Social Media,4560,15280,3300,0.383,333,97,0.0213
2024-07-01,Direct,2331,4188,1795,0.502,359,82,0.0352
2024-07-01,Referral,3052,8888,2895,0.311,456,106,0.0347
2024-07-01,Email,2228,4829,1601,0.468,185,92,0.0413
2024-07-02,Organic Search,229,673,170,0.356,521,10,0.0437
2024-07-02,Paid Search,3228,6991,2315,0.426,482,126,0.039
2024-07-02,Social Media,2052,3576,1837,0.476,71,80,0.039
2024-07-02,Direct,3008,10472,2262,0.377,559,112,0.0372
2024-07-02,Referral,4073,9708,2996,0.61,213,51,0.0125
2024-07-02,Email,2440,6921,1711,0.65,595,44,0.018
2024-07-03,Organic Search,4310,7535,3281,0.681,545,211,0.049
2024-07-03,Paid Search,2054,4498,1818,0.547,77,78,0.038
2024-07-03,Social Media,1585,5668,1215,0.575,512,48,0.0303
2024-07-03,Direct,2209,5827,1593,0.675,423,59,0.0267
2024-07-03,Referral,3116,11433,2610,0.441,297,44,0.0141
